問題No,学年・学期,単元ID,単元名,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答番号,解説１,解説２,解説３,解説４,図１,図２,国試,,,,,,,,,,,,
220,2127,2100,パーマ剤,第1剤のアルカリが強すぎたり放置が長すぎたりして、髪がチリチリになるのを？,オーバータイム,テストカール,中和,,1,正解です。　　オーバータイムにより還元が進みすぎると、髪の弾力が失われダメージが深刻になります。,不正解。　テストカールは、ウェーブのかかり具合を確認する作業のことです。,不正解。　中和は、第2剤によって第1剤のアルカリを打ち消すことです。,,,,,,,,,,,,,,,,
221,2127,2100,パーマ剤,第2剤の酸化剤として過酸化水素を使用する場合、放置時間は？,非常に長く必要,数分から10分程度,1時間以上必要,,2,不正解。　過酸化水素は反応が早いため、1時間も置く必要はありません。,正解です。　　過酸化水素は反応が非常に速いため、短時間（通常10分以内）で作用が終わります。,不正解。　放置しすぎると、髪が脱色されたり傷んだりしてしまいます。,,,,,,,,,,,,,,,,
222,2127,2100,パーマ剤,コールド式（二浴式）パーマにおいて、第1剤を作用させる場所は？,加温器の中,室温（常温）,氷で冷やす,,2,不正解。外部から熱を加えるタイプは加温式と呼ばわれます。,正解です。　　コールド式（冷たい式）の名前の通り、熱を加えずに室温で反応させます。,不正解。　冷やすと薬剤の化学反応が止まってしまい、パーマがかかりません。,,,,,,,,,,,,,,,,
223,2128,2200,ヘアカラー製品,最も一般的で、髪を明るくしながら色を入れられる染毛剤はどれですか？,酸化染毛剤,酸性染毛料,一時着色料,,1,正解です。　　酸化染毛剤は、メラニンを脱色しながら染料を定着させるため、高い染色力を持ちます。,不正解。　酸性染毛料はヘアマニキュアなどのことで、髪を明るくする力はありません。,不正解。　一時着色料は表面に付くだけで、シャンプーで落ちるものです。,,,,,,,,,,,,,,,,
224,2128,2200,ヘアカラー製品,酸化染毛剤の第1剤に含まれ、色を出すための元になる成分は？,酸化剤,染料中間体,還元剤,,2,不正解。　酸化剤は第2剤に含まれる成分です。,正解です。　　染料中間体自体は無色ですが、第2剤と混ざって酸化されることで鮮やかに発色します。,不正解。　還元剤は、主にパーマ液の第1剤で使われる成分です。,,,,,,,,,,,,,,,,
225,2128,2200,ヘアカラー製品,酸化染毛剤の第2剤の主成分で、染料を発色させ、地毛を脱色するのは？,過酸化水素,アンモニア,チオグリコール酸,,1,正解です。　　過酸化水素が放出する酸素が染料を色づかせ、同時に髪のメラニンを分解します。,不正解。　アンモニアは第1剤に含まれ、キューティクルを開く役割をします。,不正解。　チオグリコール酸は、主にパーマ液の還元剤として使われる成分です。,,,,,,,,,,,,,,,,
226,2128,2200,ヘアカラー製品,ヘアマニキュアなどの「酸性染毛料」は法律上何に分類されますか？,化粧品,医薬部外品,雑貨,,1,正解です。　　ヘアマニキュアなどの染毛料は、作用がより穏やかな「化粧品」に分類されます。,不正解。　酸化染毛剤（ヘアカラー）は医薬部外品ですが、染毛料は化粧品です。,不正解。　人体に直接使用するものは、雑貨ではなく法律で厳格に管理されています。,,,,,,,,,,,,,,,,
227,2128,2200,ヘアカラー製品,髪の表面のみに色が付き、一時的に髪色を変えるものはどれですか？,一時着色料,半永久染毛料,永久染毛剤,,1,正解です。　　一時着色料（カラースプレーやマスカラ型）は、シャンプーで簡単に落とせます。,不正解。　半永久染毛料（ヘアマニキュア）は、数週間色が持ちますが徐々に落ちます。,不正解。　永久染毛剤は髪の内部までしっかり染まり、色が長持ちします。,,,,,,,,,,,,,,,,
228,2129,2200,ヘアカラー製品,カラー剤を使う前に、体質的にアレルギーが出ないか調べる検査は？,パッチテスト,テストカール,pHテスト,,1,正解です。　　パッチテスト（皮膚アレルギー試験）は、使用の48時間前に行うことが義務付けられています。,不正解。　テストカールは、パーマのかかり具合を確認するための作業です。,不正解。　pHテストは、液体の酸性・アルカリ性の度合いを測るものです。,,,,,,,,,,,,,,,,
229,2129,2200,ヘアカラー製品,パッチテストは、薬剤を塗ってから最終的に何時間後に確認しますか？,1時間後,24時間後,48時間後,,3,不正解。1時間では反応が出ない場合が多く、正確な診断ができません。,不正解。24時間後にも一度確認しますが、最終判断はさらにその先です。,正解です。　　遅れて出るアレルギー反応を確認するため、48時間（2日間）後の状態を見る必要があります。,,,,,,,,,,,,,,,,
230,2129,2200,ヘアカラー製品,カラーの第2剤（過酸化水素）が分解して壊してしまう、髪の色素は？,ケラチン,メラニン色素,水分,,2,不正解。　ケラチンは髪の主成分となるタンパク質そのものです。,正解です。　　メラニン色素を分解することで、髪を明るく（脱色）することができます。,不正解。　水分が失われると髪は乾燥しますが、色が明るくなる原因ではありません。,,,,,,,,,,,,,,,,
231,2129,2200,ヘアカラー製品,第1剤に含まれるアルカリ剤が、毛髪をどうすることで浸透を助けますか？,メデュラを溶かす,キューティクルを膨潤させる,毛母細胞を活性化する,,2,不正解。　メデュラは髪の芯にある組織で、ここを溶かしても浸透には関係ありません。,正解です。　　アルカリ剤は毛髪を膨らませ（膨潤）、キューティクルの隙間から薬剤を入りやすくします。,不正解。　毛母細胞は頭皮の中で髪を作る組織で、薬剤で活性化はしません。,,,,,,,,,,,,,,,,
232,2129,2200,ヘアカラー製品,酸化染毛剤（ヘアカラー）において、アレルギー反応の主な原因となる成分は？,過酸化水素,パラフェニレンジアミン,アンモニア,,2,不正解。過酸化水素は刺激の原因にはなりますが、主なアレルゲンではありません。,正解です。　　パラフェニレンジアミン等の染料中間体は、特定の人に強いアレルギー反応を起こすことがあります。,不正解。アンモニアは刺激臭や皮膚刺激の原因ですが、主なアレルゲンではありません。,,,,,,,,,,,,,,,,
235,2129,2200,ヘアカラー製品,一度ヘアカラーでかぶれたことがある人は、その後どうすべきですか？,放置時間を短くして染める,二度と酸化染毛剤を使わない,体調が良い時だけ染める,,2,不正解。放置時間を短くしても、アレルギー反応は防げません。,正解です。　　一度かぶれた人が使い続けると、アナフィラキシー等の重篤な症状を招く恐れがあり大変危険です。,不正解。体調に関わらず、一度抗体ができてしまうと反応してしまいます。,,,,,,,,,,,,,,,,
236,2130,2200,ヘアカラー製品,髪の色を抜くことだけを目的とした「脱色剤（ブリーチ）」に含まれる強力酸化剤は？,過硫酸塩,パラベン,セタノール,,1,正解です。　　過硫酸塩は、髪のメラニン色素を強力に壊して色を抜くための酸化促進剤です。,不l正解。　パラベンは製品が腐るのを防ぐための「防腐剤」です。正解は過硫酸塩です。,不l正解。　セタノールはクリームのベース（基材）として使われる高級アルコールです。正解は過硫酸塩です。,,,,,,,,,,,,,,,,
238,2130,2300,育毛剤,頭皮の生理機能を低下させ細菌感染を招く原因は、皮脂の過剰分泌と何の過剰発生ですか？,汗,ふけ,ケラチン,,2,不l正解。　汗も不潔にすると良くないですが、細菌の温床となるのは主に「ふけ」と皮脂の混ざりものです。,正解です。　　ふけは古くなった角質です。これが皮脂と混ざって溜まると、細菌が繁殖して炎症の原因になります。,不l正解。　ケラチンは髪や皮膚の主成分となるタンパク質そのもののことです。正解は「ふけ」です。,,,,,,,,,,,,,,,,
239,2130,2300,育毛剤,男性型脱毛症に大きく関与し、皮脂の分泌にも関係しているものは何ですか？,ビタミン,男性ホルモン,タンパク質,,2,不l正解。　ビタミンは育毛に役立つ成分ですが、直接的な主な原因ではありません。,正解です。　　男性ホルモンが特定の酵素と結びつくことで、髪の成長が阻害され、抜け毛が進行します。,不l正解。　タンパク質は髪の材料ですが、脱毛を直接引き起こすものではありません。正解は男性ホルモンです。,,,,,,,,,,,,,,,,
240,2130,2300,育毛剤,育毛剤は、頭皮の何をよくすることで毛乳頭を活性化させますか？,血液循環,水分量,皮脂の粘り,,1,正解です。　　血液循環を良くすることで、髪の根元にある毛乳頭に栄養を届け、活性化させます。,不l正解。　水分量も大切ですが、髪を育てる細胞を直接元気にさせるのは「血流」の改善です。,不l正解。　皮脂の粘りが強すぎると、かえって毛穴が詰まる原因になります。正解は血液循環です。,,,,,,,,,,,,,,,,
241,2130,2300,育毛剤,「育毛剤」は、以前は一般的に何と呼ばれていましたか？,整髪剤,養毛剤,洗浄剤,,2,不l正解。　整髪剤は、ワックスなどのように髪型を整えるためのものです。,正解です。　　養毛剤は、毛を養い育てるという意味で、育毛剤とほぼ同じ目的で使われてきた言葉です。,不l正解。　洗浄剤は、シャンプーのように汚れを落とすもののことです。正解は養毛剤です。,,,,,,,,,,,,,,,,
242,2130,2300,育毛剤,ふけやかゆみの抑制のみを目的とする製品は、法律（薬機法）上どれに分類されますか？,化粧品,医薬部外品,医薬品,,1,正解です。　単に清潔を保ち、ふけ・かゆみを防ぐ程度の作用のものは「化粧品」に分類されます。,不l正解。　育毛や脱毛予防の具体的な効果を謳うものは医薬部外品ですが、ふけ防止のみなら化粧品の場合が多いです。,不l正解。　医薬品は病気の治療が目的のお薬です。正解は化粧品です。,,,,,,,,,,,,,,,,
243,2130,2300,育毛剤,「脱毛の予防」や「育毛・養毛の促進」を目的とする製品は、一般にどれに分類されますか？,化粧品,医薬部外品,雑貨,,2,不l正解。　化粧品では「脱毛の予防」といった具体的な効果（効能）を表示することはできません。,正解です。　「医薬部外品」は、特定の目的（育毛や予防など）に対して認められた成分を配合しています。,不l正解。　体に影響を与える成分を含む製品は、雑貨ではなく厳格な法律によって管理されます。正解は医薬部外品です。,,,,,,,,,,,,,,,,
244,2130,2300,育毛剤,「脱毛の治療（発毛）」を目的として用いられる製品は、法律上どれに当たりますか？,化粧品,医薬部外品,医薬品,,3,不l正解。　化粧品は美化や清潔を目的とするもので、病気の治療効果はありません。,不l正解。　医薬部外品はあくまで「防止」や「促進」が目的です。治療となるとさらに上の分類になります。,正解です。　「医薬品」は、症状の「治療」を目的としたお薬で、発毛効果などが医学的に認められたものです。,,,,,,,,,,,,,,,,
245,2130,2300,育毛剤,育毛剤の基剤（ベースとなる液体）として、精製水と共に主に使われるのはどれですか？,エタノール,グリセリン,流動パラフィン,,1,正解です。　　エタノールは、成分を溶かし、頭皮に清涼感を与え、浸透を助けます。,不l正解。　グリセリンは保湿剤として使われますが、ベースとなる主液体は主にエタノールです。,不l正解。　流動パラフィンはオイルの一種で、ベタつきが出るため育毛剤のベースには向きません。正解はエタノールです。,,,,,,,,,,,,,,,,
246,2130,2300,育毛剤,育毛剤において、毛母細胞の活性化や血行促進などを担う成分を総称して何といいますか？,有効成分,防腐剤,酸化防止剤,,1,正解です。　　有効成分とは、その製品の目的（育毛や血行促進など）を果たす中心的な成分のことです。,不l正解。　防腐剤は、製品に細菌やカビが生えるのを防ぐための成分です。,不l正解。　酸化防止剤は、製品が空気で変質するのを防ぐ成分です。正解は有効成分です。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
